num_repeat,rf,rfsut,rs,mr,ete_latency50,ete_latency_avg,ete_min,ete_1P,ete_5P,ete_10P,ete_90P,ete_95P,ete_99P,ete_max,ete_std,avg_first_step,avg_second_step,avg_third_step,med_first_step,med_second_step,med_third_step,throughput(MiB/s),throughput(ops)
0,3,100000,1024,30000,12587405,12618848,12381849,12383596.78,12386837.55,12408309.9,12925349.8,12972798.1,13010597.83,13016202,189751,858583,61,11760203,866150,29,11721238,0,991
1,1,10,1024,500,18466,20903,159,379.0,445.0,455.0,47444.4,51863.09999999999,58265.380000000005,66672,18223,341,69,20492,349,67,18051,0,498
1,1,10,16384,500,13921,18586,214,403.0,478.0,493.0,47669.799999999996,53731.59999999997,59674.72,64297,18392,364,74,18148,373,70,13458,7,498
1,1,10,262144,500,4713,9349,788,854.0,885.0,901.0,25034.4,27645.749999999996,30327.38,35975,9724,475,197,8677,478,188,4003,75,302
1,1,10,1024,800,16271,18706,114,268.0,348.0,356.0,42524.5,48211.299999999996,56160.29999999998,65069,16584,238,67,18401,249,65,15970,0,796
1,1,10,16384,800,18834,21484,149,282.65999999999997,376.0,391.0,49002.2,53647.59999999999,60663.020000000004,67135,18911,243,77,21163,256,79,18528,12,796
1,1,10,262144,800,17448,20613,767,832.33,866.0,883.0,48498.00000000002,53549.299999999996,60027.69000000004,64132,18466,459,171,19981,462,165,16801,76,306
1,1,10,1024,1000,13503,15824,137,188.0,295.0,361.0,36216.4,42369.99999999997,51413.920000000006,65068,14386,227,69,15527,251,69,13187,0,995
1,1,10,16384,1000,17527,19435,140,224.0,319.0,376.0,43612.6,47259.59999999999,52331.14,59108,16586,233,69,19131,255,68,17195,15,991
1,1,10,262144,1000,21666,23829,622,826.0,866.0,887.3,52689.40000000001,56491.549999999996,60345.37,65982,19681,452,173,23203,457,167,21042,76,306
1,1,10,1024,2000,7904,9464,90,101.0,105.0,111.0,22193.4,24683.79999999999,31323.860000000004,45428,8886,54,24,9386,52,24,7824,1,1989
1,1,10,16384,2000,5956,8305,103,119.0,123.0,125.0,21143.0,23254.399999999987,26406.800000000003,30964,8405,62,22,8220,59,21,5869,30,1982
1,1,10,262144,2000,14771,18037,741,841.33,879.0,896.0,42876.600000000006,47654.85,53713.5,60096,16508,456,193,17387,458,185,14131,75,303
1,1,10,1024,3000,4168,6729,86,97.0,102.0,106.0,17588.200000000004,20132.699999999997,25564.68,33760,7310,49,24,6655,49,23,4093,2,2980
